Designator,Mid X,Mid Y,Rotation,Layer
C1,139.5,-26.75,270.0,top
C10,135.75,-58.0,0.0,top
C11,142.75,-53.5,0.0,top
C12,142.5,-58.0,180.0,top
C13,188.0,-51.2,90.0,top
C15,171.75,-26.0,0.0,top
C17,202.75,-43.5,0.0,top
C19,190.5,-40.45,0.0,top
C2,140.75,-26.75,270.0,top
C20,190.5,-56.25,0.0,top
C3,142.0,-27.98,90.0,top
C4,135.5,-41.75,270.0,top
C5,135.5,-34.0,90.0,top
C6,138.75,-37.25,180.0,top
C7,138.75,-38.25,0.0,top
C8,138.25,-53.75,0.0,top
C9,140.77,-54.25,180.0,top
Caux1,148.325,-69.5,90.0,top
Cin1,149.5,-74.5,270.0,top
Cout1,148.75,-62.0,0.0,top
Coutx1,148.75,-64.5,0.0,top
J1,153.705,-54.775,90.0,top
J2,196.96,-73.725,90.0,top
J3,212.115,-50.8,180.0,top
J4,130.785,-50.79,0.0,top
J5,144.75,-75.5,270.0,top
L1,141.0,-70.75,90.0,top
R1,143.25,-27.575,270.0,top
R2,190.5,-50.45,90.0,top
R3,175.0375,-26.0,0.0,top
R4,196.25,-48.2,0.0,top
R5,194.0,-43.7,270.0,top
R9,193.25,-51.525,90.0,top
RV1,182.5,-57.25,180.0,top
RV2,183.0,-44.5,180.0,top
RV3,182.0,-70.5,180.0,top
Renable1,145.75,-73.0,0.0,top
Rfbb1,148.825,-67.0,0.0,top
Rfbt1,145.75,-67.0,0.0,top
Rpgood1,149.825,-70.0,270.0,top
U1,154.055,-30.94,0.0,top
U2,146.075,-70.4,180.0,top
U3,137.375,-63.75,90.0,top
U4,140.25,-49.0,0.0,top
U5,195.89,-31.2,90.0,top
U6,202.0,-61.75,180.0,top
Y1,201.0,-38.25,180.0,top
